#  The Gapminder data for 2008 only with fewer vatriables,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,East Asia & Pacific,2008,,,,,,,,,,,,,,,,,2128,,,,,,,
North Korea,East Asia & Pacific,2008,,,,0,,3.253996909,0.835761255,,,,,,25.8,,0,,,0.489138439,200.155,,,,60.048,0.624121586
Northern Mariana Islands,East Asia & Pacific,2008,6.52173913,,,,,,,,,,,,,,,,62707,-2.584830976,135.144,,,,91.1158,-2.457878906
Norway,Europe & Central Asia,2008,3.352211346,26.93424,25.73772,109.044815,1.96,10.52976879,6.250025167,46.76289907,41399.70903,6803.230155,29.50657717,48321.90584,2.8,10.95065953,90.77413434,80.672,4778959,1.246333015,12.408,7432.130852,9.3,8070.926447,78.4572,1.658104313
Oman,Middle East & North Africa,2008,5.709208401,26.24109,26.66535,122.0854824,2.886,15.95863625,6.025569566,58.78993473,11385.6398,365.9088972,37.38835452,24358.545,10.6,28.1446842,20,75.121,2636963,2.915705327,8.52,2124.608816,9,479.0136688,72.6756,3.268853632
Pakistan,South Asia,2008,34.09090909,22.29914,23.44986,52.56722111,3.581,0.950683947,0.48739925,12.84804936,642.4275373,7.38773949,23.88018901,2660.74984,75.1,16.24451462,7,65.768,167442258,1.805877137,210.329,186.925515,31,22.06499551,35.3216,2.602322659
Palau,East Asia & Pacific,2008,10.86956522,30.37757,31.84726,57.67747676,,10.33221277,,83.85326252,6088.915614,650.8309933,100.2437802,13331.3236,16.7,6.5,,,20228,0.545284651,44.07,,,842.2555819,81.1008,1.952912134
Panama,America,2008,29.99730966,26.26959,27.67758,114.9350049,2.608,1.996680647,0.914719768,85.19189969,5643.895786,340.8791347,75.35196687,10674.42449,17.9,5.529997879,33.82,76.513,3406487,1.652033381,45.109,500.2885055,81,493.0881736,73.063,2.717044273
Papua New Guinea,East Asia & Pacific,2008,2.627743674,25.01506,25.77189,13.34500283,4.067,0.530746337,,74.56989184,683.9764815,30.10771824,61.83636332,1904.762816,53,7.830171568,1.15,61.574,6549268,2.363249511,14.15,,66,39.89054017,12.486,2.147240786
Paraguay,America,2008,52.44651397,25.54223,25.90523,92.94597224,3.063,0.698581746,0.697873694,50.91940921,1483.739071,66.32466498,55.56439744,4318.762318,21.2,13.18710526,14.27,71.804,6230242,1.796828254,15.317,528.648051,71,162.0668094,60.2104,2.767805266
Peru,America,2008,16.7421875,24.77041,25.98511,73.60989776,2.579,1.450005618,0.528553397,27.25071661,2961.787982,159.697794,27.08265335,7912.557759,17.8,0.71957915,30.57,73.312,28463338,1.049852714,22.147,239.389457,54,256.3294586,76.1602,1.543979883
Philippines,East Asia & Pacific,2008,39.57473924,22.87263,23.4671,75.54041897,3.257,0.762788129,0.443695478,36.91204053,1314.225968,20.94124521,39.37022604,3228.118596,26,7.549059634,6.22,67.891,90173139,1.700587834,300.577,179.6151806,53,64.67885035,48.402,1.955033002
Poland,Europe & Central Asia,2008,53.09973046,26.6738,25.91887,114.9349364,1.334,8.269040235,2.567613487,39.8991871,6235.755172,702.4991314,43.8691361,16210.60037,5.8,3.101620532,53.2591859,75.678,38218462,0.01363738,118.232,704.3997516,14,972.5138999,61.1494,-0.153354759
Portugal,Europe & Central Asia,2008,40.80026238,26.68445,26.18302,132.1081296,1.358,5.486926399,2.299879415,32.44615314,11949.11464,1551.666832,42.51853816,20601.22862,3.3,1.581937472,41.94811883,78.771,10634612,0.132618993,115.616,1259.392457,16,2383.880957,59.3336,1.12550492
Puerto Rico,America,2008,21.08229989,28.37804,30.2212,67.66692888,1.692,,,82.7304032,17487.72122,,98.63377632,18647.65453,,6.755350206,37.98095385,77.971,3758981,-0.586677392,423.547,,53,,98.319,-0.355529339
Qatar,Middle East & North Africa,2008,5.522001726,28.13138,28.91251,102.3943097,2.203,48.59437751,15.31043078,50.71941759,31214.35526,1299.770669,29.22606596,73806.56813,7.6,22.84921482,44.3,77.694,1396060,16.96729233,126.915,4759.453844,16,1635.512683,98.1726,17.21328438
Romania,Europe & Central Asia,2008,58.92127012,25.41069,25.22425,113.3419029,1.34,4.38905364,1.838418979,30.98396497,2844.641672,424.0663943,43.77215805,11590.78046,13.8,11.57741214,32.53441082,73.139,21589544,-0.154438571,90.564,467.5658077,39,516.8472441,52.78,-0.143069983
Russian Federation,Europe & Central Asia,2008,13.15843626,26.01131,27.21272,139.3671554,1.446,11.9828969,4.850177591,31.30956033,3043.665599,360.5817621,22.07290571,14756.21687,11.6,17.95971404,27.05928829,67.89,143163100,-0.105615218,8.384,825.9411107,29,560.7074942,73.3632,0.091407672
Rwanda,Sub-Saharan Africa,2008,81.07012566,22.55453,22.07156,13.22095998,5.062,0.070371204,,14.45654703,328.6537842,20.89012863,30.18961322,1001.280011,50.4,13.31718115,4.5,60.15,10004092,2.97832426,379.835,,38,44.07976003,18.3016,4.377010023
Saint Helena,Sub-Saharan Africa,2008,,,,,,,,,,,,,,,,,4288,,,,,,,
Saint Kitts and Nevis,America,2008,19.23076923,28.22986,30.50804,,,,,,,,57.81889811,14695.27601,,,,,51102,,,,,,,
Saint Lucia,America,2008,18.03278689,24.65176,27.22363,,2.013,,,,,,72.70784109,10626.24157,,,,74.015,170624,,,,60,,,
Saint Vincent and the Grenadines,America,2008,25.64102564,25.44121,27.51587,,2.112,,,,,,61.27775231,7264.529697,,,,71.872,109178,,,,58,,,
Saint-Pierre-et-Miquelon,America,2008,,,,,,,,,,,,,,,,,6072,,,,,,,
Samoa,East Asia & Pacific,2008,23.32155477,30.42475,33.65908,68.20344427,4.426,0.887378146,,32.42161589,1870.227744,144.2330694,54.37594279,5220.461888,15.9,3.487307234,5.031615316,71.702,181809,0.293043731,64.221,,28,168.1919376,20.534,-0.811190658
San Marino,Europe & Central Asia,2008,16.66666667,,,78.21655234,,,,,31993.20069,3595.697633,,41955.03786,3.3,3.230518908,54.52,,31198,0.614100475,511.443,,,4221.664509,94.061,0.628985541
Sao Tome and Principe,Sub-Saharan Africa,2008,57.29166667,23.51233,24.88216,31.56106899,4.411,0.802825947,,9.543715864,,35.59100619,,1746.87152,42.6,26.57472416,15.48,65.525,159852,1.570585824,165.822,,64,82.83053087,60.402,2.892150583
Saudi Arabia,Middle East & North Africa,2008,80.72326708,27.88432,29.59878,137.5797633,2.971,15.9822462,5.888245793,67.78292667,9513.377173,375.3277997,37.09501423,23293.77485,10.1,18.79315989,36,74.403,26166639,2.564307533,12.172,3433.932449,14,581.0174667,81.642,2.835368578
Senegal,Sub-Saharan Africa,2008,48.32493637,21.92743,24.30968,45.72051212,5.107,0.45043505,0.261036726,26.12822059,555.9069869,35.51729159,52.42951718,1723.337967,50.5,6.546906519,10.6,62.277,11787123,2.686645139,59.918,55.79474354,103,65.58605669,41.7996,3.229268182
Serbia,Europe & Central Asia,2008,57.80928424,26.51495,25.66997,118.6678017,1.406,5.286125766,2.29464325,31.07640408,1216.459267,417.4132618,57.62804344,9877.972059,6.9,12.60801521,39.25871753,73.373,9841360,-0.425719157,111.377,1387.978521,22,673.4155139,55.393,0.15364625
Seychelles,Sub-Saharan Africa,2008,6.52173913,25.56236,27.97374,109.2417726,2.284,7.97026926,,113.3260818,8151.71295,331.8198447,137.9506016,15994.53978,11.9,34.6244684,39.79449285,72.491,85568,2.236282715,188.062,,63.5,358.7704108,52.583,2.858184758
Sierra Leone,Sub-Saharan Africa,2008,47.66824909,22.53139,23.93364,17.97535303,5.128,0.157456585,,16.34252437,259.0029069,4.58217921,29.39232041,861.0477914,127.5,11.2,0.25,44.075,5612129,2.41373225,78.229,,136,47.99418931,38.2308,3.261134844
Singapore,East Asia & Pacific,2008,0,23.83996,22.86642,134.4197329,1.28,6.570811826,4.92368992,241.4020145,30131.61718,457.6832422,212.4879503,44103.96813,2.2,-7.645207719,68.04209282,81.292,4772216,5.321577945,6987.139,1464.837281,5,1434.298886,100,5.321577945
Slovak Republic,Europe & Central Asia,2008,40.27027027,26.92717,26.32373,101.4470612,1.309,6.901654456,3.385488473,83.47007438,8545.630996,947.8056856,85.73747546,20044.24168,7.4,2.860784378,66.47364349,74.88,5441304,0.172307489,110.972,830.701647,20,1398.669145,55.1256,-0.091830277
Slovenia,Europe & Central Asia,2008,24.42899702,27.43983,26.58214,101.8198152,1.434,8.50092724,3.829025744,67.14239715,13836.18922,1657.993079,70.36290047,26755.74025,3,4.124357585,57.90978551,78.414,2018172,0.158140844,99.633,1585.174739,5,2257.52921,50.163,-0.044989827
Solomon Islands,East Asia & Pacific,2008,3.036798857,27.15988,28.8762,5.879805026,4.359,0.388067132,,37.29684296,1141.163946,65.84194079,57.75675167,1892.289087,28.3,3.982473721,3,66.525,510221,2.728062289,17.657,,69,72.22520387,19.1274,5.048877264
Somalia,Sub-Saharan Africa,2008,70.18044442,21.96917,22.66607,7.027367506,7.056,0.068218889,,,,,,942.2861569,100.2,,1.142687372,53.379,8922260,2.138387336,13.992,,70,,36.4374,3.313848426
South Africa,Sub-Saharan Africa,2008,81.82828724,26.85538,29.4803,91.24205436,2.538,9.426622156,3.027596241,35.78538273,3795.976906,203.0555642,38.6315876,9385.984291,45.3,8.298147889,8.520936254,52.776,49319363,1.104057215,40.391,920.1375998,57,481.7777168,60.63,1.86232644
South Sudan,Sub-Saharan Africa,2008,,,,,5.385,,,67.26265938,,,,2650.0624,76.4,,,52.421,8473315,6.180208538,,,,,17.5764,6.984508544
Spain,Europe & Central Asia,2008,56.41940658,27.49975,26.30554,109.9168374,1.419,7.293088758,3.0518988,26.49569585,16251.83693,2273.560984,32.22380905,28204.17887,4.3,2.374449422,59.06431098,80.935,45146258,1.49673505,89.223,1779.50351,13,3131.313026,77.0508,1.648178401
Sri Lanka,South Asia,2008,42.17828098,21.96671,23.11717,54.12993456,2.323,0.580970179,0.442296285,24.84148147,1195.481085,31.67796793,38.52754777,4142.531745,9.6,16.32709157,5.873672365,73.634,20473799,0.884345986,312.053,161.0934685,23,67.73599135,15.0754,0.770317864
Sudan,Sub-Saharan Africa,2008,56.83712121,22.40484,23.16132,28.95430467,4.792,0.364976621,0.364274079,24.50287252,519.2826583,32.04436732,21.60303348,2535.414048,54.7,21.01415902,10.16,60.986,32941836,2.546980714,16.528,50.89210138,60,96.75328571,32.9544,1.76125371
Suriname,America,2008,0.455128205,25.49887,27.74986,127.5770484,2.406,4.755377627,,,2599.899241,185.8637853,,8075.176011,21,15.52114354,21.06,69.739,515066,0.961769096,3.144,,39,403.7934347,68.4592,1.596859335
Swaziland,Sub-Saharan Africa,2008,71.1627907,23.16969,28.44886,46.21600147,3.699,0.949860796,,59.36104542,1794.779059,104.2630958,68.6800016,5121.002365,73.2,13.27938271,7.637392113,47.389,1150344,1.135085967,66.249,,81,162.1047207,21.556,0.579940204
Sweden,Europe & Central Asia,2008,7.537651703,26.37629,25.1466,108.4133243,1.917,5.315688399,5.379959103,53.52886104,32798.73425,3966.023203,46.77731937,33563.33839,2.6,3.137510151,90.16824415,80.973,9236872,0.779033291,20.528,4304.514402,6,4865.991151,84.7612,0.953084995
Switzerland,Europe & Central Asia,2008,38.125,26.20195,24.07242,117.4761171,1.472,5.333057624,3.501333673,54.26793851,39324.73112,4164.21968,45.06262431,38181.48483,4,2.44493291,78.42877172,81.898,7573204,1.270618074,183.442,2361.033336,4,6998.970741,73.5656,1.319837967
Taiwan,East Asia & Pacific,2008,,24.44939,23.04608,,1.05,11.28218664,,,,,,29003.86744,,,,78.34,22921000,,,1831.731848,5,,,
Tajikistan,Europe & Central Asia,2008,33.77393541,23.77966,23.84799,54.89899298,3.703,0.463579009,0.369288802,16.75721078,259.1376482,10.58100067,71.98404778,1650.428953,55.3,14.05663214,8.78,66.41,6691416,1.30854806,46.76,405.7753854,28,43.07761038,26.4716,1.362204847
Thailand,East Asia & Pacific,2008,38.62475288,23.00803,24.38577,90.58003795,1.477,4.155642587,1.576957189,76.44460097,2608.24726,120.6416187,73.88140939,7652.231674,13.2,3.931303064,18.2,73.363,68267982,0.693102345,133.046,439.5897318,42,158.4172183,33.1344,1.595929413
Timor-Leste,East Asia & Pacific,2008,25.89105582,20.59082,21.50694,11.57694983,6.479,0.176584249,,,361.1386582,44.37236716,,2539.773518,56,10.47503087,0.16415625,64.83,1079749,1.773354721,72.593,,63,63.64118292,27.208,4.393870549
Togo,Sub-Saharan Africa,2008,62.60341975,21.87875,22.73858,26.82336372,4.876,0.251983337,0.443614906,35.4935713,258.0385955,13.21661836,,897.7584614,67.8,14.40877546,2.4,54.887,5776837,2.170335751,101.732,66.23852193,63,37.45616559,36.5938,3.46191838
Tokelau,East Asia & Pacific,2008,,,,,,,,,,,,,,,,,1139,,94.917,,,,,
Tonga,East Asia & Pacific,2008,41.66666667,30.99563,34.25969,49.04479642,4.012,1.710232242,,13.71048033,1980.449248,175.6902731,57.27846092,4752.19907,12.5,5.438125093,8.110769944,71.916,102910,0.639490589,158.323,,21,206.8616335,23.2828,0.822625863
Trinidad and Tobago,America,2008,10.52631579,26.39669,28.27587,135.6923909,1.796,35.37359258,14.53082552,64.16212935,10959.66371,444.3957654,37.63012797,18620.50478,20.7,24.62632701,34.8,69.321,1331040,0.404109087,259.462,2261.316713,34,909.2230846,12.9152,2.472554889
Tunisia,Middle East & North Africa,2008,63.60066941,25.15699,27.93706,83.94545894,2.044,2.440669475,0.912673954,55.6294804,3023.398051,133.167342,58.66620612,7361.403375,16.6,6.076080493,27.31257513,74.704,10247325,1.010030967,62.633,325.8395608,5,246.2171607,65.71,1.305704296
Turkey,Europe & Central Asia,2008,50.83221808,26.70371,28.24749,92.80971263,2.147,4.021902589,1.388840195,23.90791797,5288.416087,455.44953,28.34067736,8456.753897,15.6,11.99441606,34.37,73.585,70923730,1.321335189,90.515,550.6966103,37,623.7732361,69.0286,2.38332816
Turkmenistan,Europe & Central Asia,2008,69.39969783,25.24796,24.66154,23.07967882,2.482,11.18698047,4.493747148,64.05824742,1070.415935,41.10773108,40.37563574,5726.436282,50.6,59.74038555,1.75,64.737,4918396,1.218211736,10.077,351.1665941,19,83.6494936,47.8652,1.788935488
Turks and Caicos Islands,America,2008,1.052631579,,,,,4.384501299,,,,,,37368.21132,19.8,,,,35960,4.423437291,83.628,,,,91.8172,5.211133941
Tuvalu,East Asia & Pacific,2008,33.33333333,,,,,,,,1643.088907,623.2485918,,,27.8,-0.111053595,15,,9786,0.24554954,376.385,,,623.8041557,49.3208,1.087676926
Uganda,Sub-Saharan Africa,2008,68.87543166,22.35833,22.48126,27.29747916,6.338,0.100852839,,24.27944857,356.8351769,7.78474969,31.97721213,1150.60181,56.9,6.367213297,7.9,55.647,31339392,3.241232348,130.018,,145,45.31764489,14.394,5.930967123
Ukraine,Europe & Central Asia,2008,71.2766692,25.42379,26.23317,121.0688373,1.384,7.036664214,2.943144502,46.92328301,1158.110564,149.6985246,54.9111023,6730.010741,11.2,28.583474,10.93659987,68.306,45991584,-0.541462211,76.183,673.584861,32,259.6442146,68.327,-0.279142954
United Arab Emirates,Middle East & North Africa,2008,6.806220096,28.05359,29.61401,150.7701531,1.948,24.65683298,9.397846945,79.02482731,25573.73175,1007.943614,69.7850064,35246.69377,7.9,18.07184994,63,75.955,6206623,13.81924091,74.242,11154.75503,26,1526.896475,83.33,14.24737318
United Kingdom,Europe & Central Asia,2008,73.0955235,27.39249,26.94449,125.2408107,1.871,8.522876171,3.39436448,29.81197573,29287.76042,3130.586837,32.21965729,32623.51605,4.7,3.134451147,78.23268889,79.499,61270318,0.664933705,252.245,1933.945615,30,3801.445398,79.3076,0.791357088
United States of America,America,2008,44.20492336,28.45698,28.34359,85.6752031,2.074,18.5459917,7.487930303,12.98798112,38208.76118,3554.238744,17.88149879,42226.58003,6.5,2.211347037,74.21781837,77.8,304989064,0.945865287,31.674,4542.848695,38,7719.627428,81.5782,1.292636758
Uruguay,America,2008,85.07599132,26.39123,26.59304,104.8371368,2.107,2.489763547,1.245675532,30.20302397,8211.661782,459.6498331,35.00507104,10920.64175,10.2,8.023536413,39.44044757,76.458,3345967,0.304778368,19.118,823.8231975,61,720.5684152,92.2418,0.419325669
Uzbekistan,Europe & Central Asia,2008,62.57639868,25.32054,25.43432,46.15577354,2.457,4.658142664,1.849719625,43.5239727,839.9109699,26.31500891,40.78537761,2428.749951,39.2,19.89221241,8.916912779,67.647,26811974,1.604961099,59.928,261.4339532,14,57.40209764,36.3928,1.345904972
Vanuatu,East Asia & Pacific,2008,15.34044299,26.78926,28.45876,15.78663486,3.608,0.530606338,,44.38548218,1524.253595,97.95105059,56.40023115,3945.412164,17.3,4.764463461,7.269119923,70.157,228041,2.515129759,18.709,,53,110.7725368,23.993,3.764936331
Venezuela,America,2008,24.20497704,27.445,28.13408,97.70789149,2.531,6.496697762,2.511814498,30.82166901,5984.144953,268.9268716,21.11451563,11862.322,14.4,30.13245285,25.99347456,73.814,28057485,1.631275121,30.763,969.0043388,89,598.3068322,92.7528,1.934258211
Vietnam,East Asia & Pacific,2008,33.02480085,20.9163,21.065,87.10953399,1.862,1.493381555,0.575456291,77.92245047,656.3107275,23.80215849,93.12933406,2577.73251,19.2,22.13575003,24.15312715,75.204,85951912,1.064356223,259.134,302.7256547,26,70.09052721,29.1482,3.222778262
Wallis et Futuna,East Asia & Pacific,2008,,,,,,1.589250885,,,,,,,,,,,13843,,69.215,,12.5,,,
West Bank and Gaza Strip,Middle East & North Africa,2008,61.12956811,26.5775,29.02643,34.349672,4.381,0.536602287,,,,,,3521.304663,21.2,,23.67273319,72.271,3826546,2.706362137,635.639,,52,,73.7042,2.997678565
Western Sahara,Middle East & North Africa,2008,,,,,2.549,0.479618237,,,,,,,,,,66.155,496923,,1.868,,,,,
Yemen,Sub-Saharan Africa,2008,,,,28.48417979,,1.000828155,0.315670652,37.83936268,578.3232708,21.1315877,,,52.3,20.38033925,6.89,,,3.049598406,42.856,,,68.22635908,30.6196,4.899415482
Zambia,Sub-Saharan Africa,2008,31.05637687,20.68321,23.05436,28.58734991,5.881,0.15579379,0.617251413,35.37457959,396.3443844,43.1885424,33.53243802,1302.85927,67.1,12.33122274,5.55,51.648,12379612,2.653956076,16.449,168.6230305,145,72.58389754,37.8798,3.775860141
Zimbabwe,Sub-Saharan Africa,2008,42.52294171,22.0266,24.64522,13.28928471,3.853,0.728825335,0.744783277,41.46684882,280.3085028,,68.05478845,408.1344733,58.7,1.349222478,11.4,48.89,12451543,-0.238256661,31.865,297.8832004,62,,37.222,0.988951605
