Year,DHB,maori.deaths,total.deaths,maori.prop,Four.Digit.Code,Char.Code,HPI.Code,NAME
1991,11,0,992,0,1011,NLD,G00026-A,Northland
1991,21,0,2208,0,1021,NWA,G00013-C,Waitemata
1991,22,0,2808,0,1022,CAK,G00011-K,Auckland
1991,23,0,1874,0,1023,SAK,G00012-A,Counties Manukau
1991,31,0,2109,0,2031,WKO,G00027-C,Waikato
1991,42,0,636,0,2042,LKS,G00028-E,Lakes
1991,47,0,1238,0,2047,BOP,G00031-E,Bay of Plenty
1991,51,0,377,0,2051,TRW,G00029-G,Tairawhiti
1991,61,0,1186,0,3061,HWB,G00032-G,Hawke's Bay
1991,71,0,891,0,2071,TKI,G00030-C,Taranaki
1991,81,0,1369,0,3081,MWU,G00033-J,Midcentral
1991,82,0,605,0,3082,WNI,G00035-B,Whanganui
1991,91,0,1532,0,3091,CAP,G00036-D,Capital and Coast
1991,92,0,974,0,3092,HUT,G00006-F,Hutt
1991,93,0,376,0,3093,WRP,G00037-F,Wairarapa
1991,101,0,835,0,3101,NLM,G00038-H,Nelson Marlborough
1991,111,0,364,0,4111,WCO,G00039-K,West Coast
1991,121,0,3249,0,4121,CTY,G00005-D,Canterbury
1991,123,0,547,0,4123,SCY,G00025-K,South Canterbury
1991,160,0,2436,0,4160,SRN,G02328-E,Southern
1992,11,2,1052,0.001901141,1011,NLD,G00026-A,Northland
1992,21,0,2255,0,1021,NWA,G00013-C,Waitemata
1992,22,0,2817,0,1022,CAK,G00011-K,Auckland
1992,23,0,1978,0,1023,SAK,G00012-A,Counties Manukau
1992,31,0,2206,0,2031,WKO,G00027-C,Waikato
1992,42,0,702,0,2042,LKS,G00028-E,Lakes
1992,47,0,1286,0,2047,BOP,G00031-E,Bay of Plenty
1992,51,0,368,0,2051,TRW,G00029-G,Tairawhiti
1992,61,0,1273,0,3061,HWB,G00032-G,Hawke's Bay
1992,71,0,976,0,2071,TKI,G00030-C,Taranaki
1992,81,0,1384,0,3081,MWU,G00033-J,Midcentral
1992,82,0,594,0,3082,WNI,G00035-B,Whanganui
1992,91,0,1567,0,3091,CAP,G00036-D,Capital and Coast
1992,92,0,980,0,3092,HUT,G00006-F,Hutt
1992,93,0,320,0,3093,WRP,G00037-F,Wairarapa
1992,101,0,788,0,3101,NLM,G00038-H,Nelson Marlborough
1992,111,0,353,0,4111,WCO,G00039-K,West Coast
1992,121,0,3414,0,4121,CTY,G00005-D,Canterbury
1992,123,0,573,0,4123,SCY,G00025-K,South Canterbury
1992,160,0,2456,0,4160,SRN,G02328-E,Southern
1993,11,1,1061,0.000942507,1011,NLD,G00026-A,Northland
1993,21,0,2379,0,1021,NWA,G00013-C,Waitemata
1993,22,0,2920,0,1022,CAK,G00011-K,Auckland
1993,23,0,1933,0,1023,SAK,G00012-A,Counties Manukau
1993,31,0,2168,0,2031,WKO,G00027-C,Waikato
1993,42,0,644,0,2042,LKS,G00028-E,Lakes
1993,47,0,1292,0,2047,BOP,G00031-E,Bay of Plenty
1993,51,0,441,0,2051,TRW,G00029-G,Tairawhiti
1993,61,0,1244,0,3061,HWB,G00032-G,Hawke's Bay
1993,71,0,933,0,2071,TKI,G00030-C,Taranaki
1993,81,0,1412,0,3081,MWU,G00033-J,Midcentral
1993,82,0,552,0,3082,WNI,G00035-B,Whanganui
1993,91,0,1487,0,3091,CAP,G00036-D,Capital and Coast
1993,92,0,1005,0,3092,HUT,G00006-F,Hutt
1993,93,0,395,0,3093,WRP,G00037-F,Wairarapa
1993,101,0,845,0,3101,NLM,G00038-H,Nelson Marlborough
1993,111,0,367,0,4111,WCO,G00039-K,West Coast
1993,121,0,3334,0,4121,CTY,G00005-D,Canterbury
1993,123,0,572,0,4123,SCY,G00025-K,South Canterbury
1993,160,0,2362,0,4160,SRN,G02328-E,Southern
1994,11,2,1118,0.001788909,1011,NLD,G00026-A,Northland
1994,21,0,2413,0,1021,NWA,G00013-C,Waitemata
1994,22,0,2777,0,1022,CAK,G00011-K,Auckland
1994,23,0,1976,0,1023,SAK,G00012-A,Counties Manukau
1994,31,1,2224,0.00044964,2031,WKO,G00027-C,Waikato
1994,42,0,658,0,2042,LKS,G00028-E,Lakes
1994,47,0,1297,0,2047,BOP,G00031-E,Bay of Plenty
1994,51,0,400,0,2051,TRW,G00029-G,Tairawhiti
1994,61,0,1245,0,3061,HWB,G00032-G,Hawke's Bay
1994,71,0,912,0,2071,TKI,G00030-C,Taranaki
1994,81,0,1412,0,3081,MWU,G00033-J,Midcentral
1994,82,0,585,0,3082,WNI,G00035-B,Whanganui
1994,91,0,1476,0,3091,CAP,G00036-D,Capital and Coast
1994,92,0,962,0,3092,HUT,G00006-F,Hutt
1994,93,0,303,0,3093,WRP,G00037-F,Wairarapa
1994,101,0,835,0,3101,NLM,G00038-H,Nelson Marlborough
1994,111,0,374,0,4111,WCO,G00039-K,West Coast
1994,121,0,3384,0,4121,CTY,G00005-D,Canterbury
1994,123,0,583,0,4123,SCY,G00025-K,South Canterbury
1994,160,0,2390,0,4160,SRN,G02328-E,Southern
1995,11,11,1177,0.009345794,1011,NLD,G00026-A,Northland
1995,21,7,2497,0.002803364,1021,NWA,G00013-C,Waitemata
1995,22,8,2790,0.002867384,1022,CAK,G00011-K,Auckland
1995,23,13,2066,0.006292352,1023,SAK,G00012-A,Counties Manukau
1995,31,13,2143,0.006066262,2031,WKO,G00027-C,Waikato
1995,42,5,726,0.006887052,2042,LKS,G00028-E,Lakes
1995,47,6,1361,0.004408523,2047,BOP,G00031-E,Bay of Plenty
1995,51,3,447,0.006711409,2051,TRW,G00029-G,Tairawhiti
1995,61,9,1221,0.007371007,3061,HWB,G00032-G,Hawke's Bay
1995,71,4,913,0.004381161,2071,TKI,G00030-C,Taranaki
1995,81,5,1394,0.003586801,3081,MWU,G00033-J,Midcentral
1995,82,1,595,0.001680672,3082,WNI,G00035-B,Whanganui
1995,91,4,1619,0.002470661,3091,CAP,G00036-D,Capital and Coast
1995,92,4,1011,0.003956479,3092,HUT,G00006-F,Hutt
1995,93,4,345,0.011594203,3093,WRP,G00037-F,Wairarapa
1995,101,0,946,0,3101,NLM,G00038-H,Nelson Marlborough
1995,111,0,378,0,4111,WCO,G00039-K,West Coast
1995,121,10,3486,0.002868617,4121,CTY,G00005-D,Canterbury
1995,123,1,533,0.001876173,4123,SCY,G00025-K,South Canterbury
1995,160,6,2413,0.002486531,4160,SRN,G02328-E,Southern
1996,11,326,1138,0.286467487,1011,NLD,G00026-A,Northland
1996,21,128,2596,0.049306626,1021,NWA,G00013-C,Waitemata
1996,22,165,2813,0.058656239,1022,CAK,G00011-K,Auckland
1996,23,275,2067,0.133043058,1023,SAK,G00012-A,Counties Manukau
1996,31,376,2362,0.15918713,2031,WKO,G00027-C,Waikato
1996,42,171,676,0.25295858,2042,LKS,G00028-E,Lakes
1996,47,270,1502,0.17976032,2047,BOP,G00031-E,Bay of Plenty
1996,51,156,408,0.382352941,2051,TRW,G00029-G,Tairawhiti
1996,61,186,1242,0.149758454,3061,HWB,G00032-G,Hawke's Bay
1996,71,83,906,0.091611479,2071,TKI,G00030-C,Taranaki
1996,81,110,1414,0.077793494,3081,MWU,G00033-J,Midcentral
1996,82,83,609,0.136288998,3082,WNI,G00035-B,Whanganui
1996,91,92,1533,0.060013046,3091,CAP,G00036-D,Capital and Coast
1996,92,86,1030,0.083495146,3092,HUT,G00006-F,Hutt
1996,93,32,375,0.085333333,3093,WRP,G00037-F,Wairarapa
1996,101,25,954,0.026205451,3101,NLM,G00038-H,Nelson Marlborough
1996,111,15,384,0.0390625,4111,WCO,G00039-K,West Coast
1996,121,105,3465,0.03030303,4121,CTY,G00005-D,Canterbury
1996,123,10,561,0.017825312,4123,SCY,G00025-K,South Canterbury
1996,160,75,2481,0.030229746,4160,SRN,G02328-E,Southern
1997,11,332,1161,0.285960379,1011,NLD,G00026-A,Northland
1997,21,121,2675,0.045233645,1021,NWA,G00013-C,Waitemata
1997,22,137,2778,0.049316055,1022,CAK,G00011-K,Auckland
1997,23,267,2037,0.13107511,1023,SAK,G00012-A,Counties Manukau
1997,31,332,2278,0.145741879,2031,WKO,G00027-C,Waikato
1997,42,208,751,0.276964048,2042,LKS,G00028-E,Lakes
1997,47,264,1369,0.19284149,2047,BOP,G00031-E,Bay of Plenty
1997,51,166,424,0.391509434,2051,TRW,G00029-G,Tairawhiti
1997,61,207,1269,0.163120567,3061,HWB,G00032-G,Hawke's Bay
1997,71,75,782,0.095907928,2071,TKI,G00030-C,Taranaki
1997,81,116,1331,0.087152517,3081,MWU,G00033-J,Midcentral
1997,82,87,549,0.158469945,3082,WNI,G00035-B,Whanganui
1997,91,85,1600,0.053125,3091,CAP,G00036-D,Capital and Coast
1997,92,54,983,0.054933876,3092,HUT,G00006-F,Hutt
1997,93,23,360,0.063888889,3093,WRP,G00037-F,Wairarapa
1997,101,33,916,0.036026201,3101,NLM,G00038-H,Nelson Marlborough
1997,111,13,372,0.034946237,4111,WCO,G00039-K,West Coast
1997,121,91,3246,0.028034504,4121,CTY,G00005-D,Canterbury
1997,123,16,559,0.02862254,4123,SCY,G00025-K,South Canterbury
1997,160,64,2355,0.027176221,4160,SRN,G02328-E,Southern
1998,11,341,1128,0.302304965,1011,NLD,G00026-A,Northland
1998,21,109,2450,0.044489796,1021,NWA,G00013-C,Waitemata
1998,22,150,2615,0.057361377,1022,CAK,G00011-K,Auckland
1998,23,276,2060,0.133980583,1023,SAK,G00012-A,Counties Manukau
1998,31,355,2280,0.155701754,2031,WKO,G00027-C,Waikato
1998,42,204,719,0.283727399,2042,LKS,G00028-E,Lakes
1998,47,233,1362,0.171071953,2047,BOP,G00031-E,Bay of Plenty
1998,51,139,372,0.373655914,2051,TRW,G00029-G,Tairawhiti
1998,61,182,1196,0.152173913,3061,HWB,G00032-G,Hawke's Bay
1998,71,55,777,0.070785071,2071,TKI,G00030-C,Taranaki
1998,81,93,1286,0.072317263,3081,MWU,G00033-J,Midcentral
1998,82,83,592,0.140202703,3082,WNI,G00035-B,Whanganui
1998,91,99,1494,0.06626506,3091,CAP,G00036-D,Capital and Coast
1998,92,69,919,0.07508161,3092,HUT,G00006-F,Hutt
1998,93,44,373,0.117962466,3093,WRP,G00037-F,Wairarapa
1998,101,29,869,0.033371692,3101,NLM,G00038-H,Nelson Marlborough
1998,111,12,328,0.036585366,4111,WCO,G00039-K,West Coast
1998,121,68,3261,0.020852499,4121,CTY,G00005-D,Canterbury
1998,123,17,538,0.031598513,4123,SCY,G00025-K,South Canterbury
1998,160,69,2367,0.029150824,4160,SRN,G02328-E,Southern
1999,11,361,1210,0.298347107,1011,NLD,G00026-A,Northland
1999,21,121,2613,0.046306927,1021,NWA,G00013-C,Waitemata
1999,22,118,2589,0.045577443,1022,CAK,G00011-K,Auckland
1999,23,262,2146,0.122087605,1023,SAK,G00012-A,Counties Manukau
1999,31,374,2439,0.153341533,2031,WKO,G00027-C,Waikato
1999,42,183,717,0.255230126,2042,LKS,G00028-E,Lakes
1999,47,279,1516,0.184036939,2047,BOP,G00031-E,Bay of Plenty
1999,51,160,446,0.358744395,2051,TRW,G00029-G,Tairawhiti
1999,61,210,1316,0.159574468,3061,HWB,G00032-G,Hawke's Bay
1999,71,95,924,0.102813853,2071,TKI,G00030-C,Taranaki
1999,81,90,1390,0.064748201,3081,MWU,G00033-J,Midcentral
1999,82,81,591,0.137055838,3082,WNI,G00035-B,Whanganui
1999,91,92,1578,0.058301648,3091,CAP,G00036-D,Capital and Coast
1999,92,86,1020,0.084313725,3092,HUT,G00006-F,Hutt
1999,93,34,321,0.105919003,3093,WRP,G00037-F,Wairarapa
1999,101,29,967,0.029989659,3101,NLM,G00038-H,Nelson Marlborough
1999,111,12,297,0.04040404,4111,WCO,G00039-K,West Coast
1999,121,90,3358,0.026801668,4121,CTY,G00005-D,Canterbury
1999,123,11,535,0.020560748,4123,SCY,G00025-K,South Canterbury
1999,160,69,2361,0.029224905,4160,SRN,G02328-E,Southern
2000,11,310,1103,0.281051677,1011,NLD,G00026-A,Northland
2000,21,122,2444,0.049918167,1021,NWA,G00013-C,Waitemata
2000,22,119,2485,0.047887324,1022,CAK,G00011-K,Auckland
2000,23,284,2079,0.136604137,1023,SAK,G00012-A,Counties Manukau
2000,31,373,2293,0.162668993,2031,WKO,G00027-C,Waikato
2000,42,184,726,0.253443526,2042,LKS,G00028-E,Lakes
2000,47,280,1459,0.191912269,2047,BOP,G00031-E,Bay of Plenty
2000,51,136,384,0.354166667,2051,TRW,G00029-G,Tairawhiti
2000,61,181,1215,0.148971193,3061,HWB,G00032-G,Hawke's Bay
2000,71,82,888,0.092342342,2071,TKI,G00030-C,Taranaki
2000,81,112,1301,0.086087625,3081,MWU,G00033-J,Midcentral
2000,82,84,641,0.131045242,3082,WNI,G00035-B,Whanganui
2000,91,99,1530,0.064705882,3091,CAP,G00036-D,Capital and Coast
2000,92,79,918,0.086056645,3092,HUT,G00006-F,Hutt
2000,93,23,345,0.066666667,3093,WRP,G00037-F,Wairarapa
2000,101,22,1000,0.022,3101,NLM,G00038-H,Nelson Marlborough
2000,111,10,222,0.045045045,4111,WCO,G00039-K,West Coast
2000,121,93,3191,0.029144469,4121,CTY,G00005-D,Canterbury
2000,123,9,510,0.017647059,4123,SCY,G00025-K,South Canterbury
2000,160,78,2300,0.033913043,4160,SRN,G02328-E,Southern
2001,11,334,1238,0.269789984,1011,NLD,G00026-A,Northland
2001,21,125,2669,0.04683402,1021,NWA,G00013-C,Waitemata
2001,22,119,2433,0.04891081,1022,CAK,G00011-K,Auckland
2001,23,281,2215,0.126862302,1023,SAK,G00012-A,Counties Manukau
2001,31,345,2372,0.14544688,2031,WKO,G00027-C,Waikato
2001,42,208,796,0.261306533,2042,LKS,G00028-E,Lakes
2001,47,264,1551,0.170212766,2047,BOP,G00031-E,Bay of Plenty
2001,51,139,386,0.360103627,2051,TRW,G00029-G,Tairawhiti
2001,61,183,1257,0.145584726,3061,HWB,G00032-G,Hawke's Bay
2001,71,78,908,0.085903084,2071,TKI,G00030-C,Taranaki
2001,81,113,1395,0.081003584,3081,MWU,G00033-J,Midcentral
2001,82,78,615,0.126829268,3082,WNI,G00035-B,Whanganui
2001,91,87,1527,0.05697446,3091,CAP,G00036-D,Capital and Coast
2001,92,74,964,0.076763485,3092,HUT,G00006-F,Hutt
2001,93,33,376,0.087765957,3093,WRP,G00037-F,Wairarapa
2001,101,33,1023,0.032258065,3101,NLM,G00038-H,Nelson Marlborough
2001,111,14,292,0.047945205,4111,WCO,G00039-K,West Coast
2001,121,105,3283,0.031982942,4121,CTY,G00005-D,Canterbury
2001,123,11,555,0.01981982,4123,SCY,G00025-K,South Canterbury
2001,160,87,2396,0.036310518,4160,SRN,G02328-E,Southern
2002,11,331,1303,0.254029163,1011,NLD,G00026-A,Northland
2002,21,141,2609,0.054043695,1021,NWA,G00013-C,Waitemata
2002,22,117,2543,0.046008651,1022,CAK,G00011-K,Auckland
2002,23,296,2233,0.132557098,1023,SAK,G00012-A,Counties Manukau
2002,31,365,2378,0.153490328,2031,WKO,G00027-C,Waikato
2002,42,157,701,0.223965763,2042,LKS,G00028-E,Lakes
2002,47,259,1536,0.168619792,2047,BOP,G00031-E,Bay of Plenty
2002,51,156,409,0.381418093,2051,TRW,G00029-G,Tairawhiti
2002,61,177,1292,0.136996904,3061,HWB,G00032-G,Hawke's Bay
2002,71,92,917,0.100327154,2071,TKI,G00030-C,Taranaki
2002,81,101,1332,0.075825826,3081,MWU,G00033-J,Midcentral
2002,82,98,621,0.157809984,3082,WNI,G00035-B,Whanganui
2002,91,91,1590,0.057232704,3091,CAP,G00036-D,Capital and Coast
2002,92,80,936,0.085470085,3092,HUT,G00006-F,Hutt
2002,93,21,334,0.062874251,3093,WRP,G00037-F,Wairarapa
2002,101,40,1073,0.037278658,3101,NLM,G00038-H,Nelson Marlborough
2002,111,17,271,0.062730627,4111,WCO,G00039-K,West Coast
2002,121,100,3507,0.0285144,4121,CTY,G00005-D,Canterbury
2002,123,13,534,0.024344569,4123,SCY,G00025-K,South Canterbury
2002,160,82,2409,0.03403902,4160,SRN,G02328-E,Southern
2003,11,341,1275,0.26745098,1011,NLD,G00026-A,Northland
2003,21,128,2684,0.047690015,1021,NWA,G00013-C,Waitemata
2003,22,129,2419,0.053327821,1022,CAK,G00011-K,Auckland
2003,23,327,2285,0.143107221,1023,SAK,G00012-A,Counties Manukau
2003,31,319,2307,0.138274816,2031,WKO,G00027-C,Waikato
2003,42,195,716,0.272346369,2042,LKS,G00028-E,Lakes
2003,47,266,1518,0.175230567,2047,BOP,G00031-E,Bay of Plenty
